HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
HP:0002418	Abnormal midbrain morphology	中脑形态异常	An abnormality of the midbrain, which has as its parts the tectum, cerebral peduncle, midbrain tegmentum and cerebral aqueduct.	校对中...
HP:0002419	Molar tooth sign on MRI	磁共振磨牙征	An abnormal appearance of the midbrain in axial magnetic resonance imaging in which the elongated superior cerebellar peduncles give the midbrain an appearance reminiscent of a molar or wisdom tooth.	校对中...
HP:0002421	Poor head control	头部控制能力弱	Difficulty to maintain correct position of the head while standing or sitting.	校对中...
HP:0002423	Long-tract signs	长束征		
HP:0002425	Anarthria	构音障碍	A defect in the motor ability that enables speech.	校对中...
HP:0002427	Expressive aphasia	运动性失语	Impairment of expressive language and relative preservation of receptive language abilities. That is, the patient understands language (speech, writing) but cannot express it.	校对中...
HP:0002435	Meningocele	脑脊膜膨出	Protrusion of the meninges through a defect of the vertebral column.	校对中...
HP:0002436	Occipital meningocele	枕脊膜膨出	A herniation of meninges through a congenital bone defect in the skull in the occipital region.	校对中...
HP:0002438	Cerebellar malformation	小脑畸形		
HP:0002439	Frontolimbic dementia	额叶和边缘叶痴呆		
HP:0002442	Dyscalculia	计算困难	A specific learning disability involving mathematics and arithmetic.	校对中...
HP:0002444	Hypothalamic hamartoma	下丘脑错构瘤	The presence of a hamartoma of the hypothalamus.	校对中...
HP:0002445	Tetraplegia	四肢瘫	Paralysis of all four limbs, and trunk of the body below the level of an associated injury to the spinal cord. The etiology of quadriplegia is similar to that of paraplegia except that the lesion is in the cervical spinal cord rather than in the thoracic or lumbar segments of the spinal cord.	校对中...
HP:0002446	Astrocytosis	星形胶质细胞增殖	Proliferation of astrocytes in the area of a lesion of the central nervous system.	校对中...
HP:0002448	Progressive encephalopathy	进行性脑病		
HP:0002450	Abnormal motor neuron morphology	运动神经元的形态异常	Any structural anomaly that affects the motor neuron.	校对中...
HP:0002451	Limb dystonia	肢体肌张力障碍	A type of dystonia (abnormally increased muscular tone causing fixed abnormal postures) that affects muscles of the limbs.	校对中...
HP:0002453	Abnormal globus pallidus morphology	苍白球形态异常	An abnormality of the globus pallidus.	校对中...
HP:0002454	Eye of the tiger anomaly of globus pallidus	苍白球虎眼征	The presence, on T2-weighted magnetic resonance imaging, of markedly low signal intensity if the globus pallidus that surrounds a central region of high signal intensity in the anteromedial globus pallidus, producing an eye-of-the-tiger appearance.	校对中...
HP:0002457	Abnormal head movements	头部运动异常		
HP:0002460	Distal muscle weakness	远端肌无力	Reduced strength of the musculature of the distal extremities.	校对中...
HP:0002461	Dense calcifications in the cerebellar dentate nucleus	小脑齿状核致密钙化		
HP:0002463	Language impairment	语言障碍	Language impairment is a deficit in comprehension or production of language that includes reduced vocabulary, limited sentence structure or impairments in written or spoken communication. Language abilities are substantially and quantifiably below age expectations.	校对中...
HP:0002464	Spastic dysarthria	痉挛性构音障碍	A type of dysarthria related to bilateral damage of the upper motor neuron tracts of the pyramidal and extra- pyramidal tracts. Speech of affected individuals is slow, effortful, and has a harsh vocal quality.	校对中...
HP:0002465	Poor speech	少言寡语		
HP:0002470	Nonprogressive cerebellar ataxia	非进行性小脑性共济失调		
HP:0002472	Small cerebral cortex	小大脑皮层	Reduced size of the cerebral cortex.	校对中...
HP:0002474	Expressive language delay	语言表达延迟	A delay in the acquisition of the ability to use language to communicate needs, wishes, or thoughts.	校对中...
HP:0002475	Myelomeningocele	脊髓脊膜膨出	Protrusion of the meninges and portions of the spinal cord through a defect of the vertebral column.	校对中...
HP:0002478	Progressive spastic quadriplegia	进行性痉挛性四肢瘫		
HP:0002480	Hepatic encephalopathy	肝性脑病	Central nervous system dysfunction in association with liver failure and characterized clinically (depending on degree of severity) by lethargy, confusion, nystagmus, decorticate posturing, spasticity, and bilateral Babinski reflexes.	校对中...
HP:0002483	Bulbar signs	球部体征		
HP:0002486	Myotonia	肌强直	An involuntary and painless delay in the relaxation of skeletal muscle following contraction or electrical stimulation.	校对中...
HP:0002487	Hyperkinetic movements	运动过多	Motor hyperactivity with excessive movement of muscles of the body as a whole.	校对中...
HP:0002488	Acute leukemia	急性白血病	A clonal (malignant) hematopoietic disorder with an acute onset, affecting the bone marrow and the peripheral blood. The malignant cells show minimal differentiation and are called blasts, either myeloid blasts (myeloblasts) or lymphoid blasts (lymphoblasts).	校对中...
HP:0002490	Increased CSF lactate	脑脊液乳酸升高	Increased concentration of lactate in the cerebrospinal fluid.	校对中...
HP:0002491	Spasticity of facial muscles	面肌痉挛	Spasticity of one or more muscles innervated by the facial nerve.	校对中...
HP:0002492	Morphological abnormality of the corticospinal tract	皮质脊髓束形态异常	Abnormality of the corticospinal tract, which is the chief element of the pyramidal system (the principle motor tract) and is the only direct connection between the cerebrum and the spinal cord.	校对中...
HP:0002493	Upper motor neuron dysfunction	上运动神经元功能障碍/功能异常	A functional anomaly of the upper motor neuron. The upper motor neurons are neurons of the primary motor cortex which project to the brainstem and spinal chord via the corticonuclear, corticobulbar and corticospinal (pyramidal) tracts. They are involved in control of voluntary movements. Dysfunction leads to weakness, impairment of fine motor movements, spasticity, hyperreflexia and abnormal pyramidal signs.	校对中...
HP:0002494	Abnormal rapid eye movement sleep	快速眼动期睡眠异常	Abnormality of REM sleep. Phases of REM sleep are characterized by desynchronized EEG patterns, increases in heart rate and blood pressure, sympathetic activation, and a profound loss of muscle tonus except for the eye and middle-ear muscles. There are then phases of rapid eye movements.	校对中...
HP:0002495	Impaired vibratory sensation	振动觉异常	A decrease in the ability to perceive vibration. Clinically, this is usually tested with a tuning fork which vibrates at 128 Hz and is applied to bony prominences such as the malleoli at the ankles or the metacarpal-phalangeal joints. There is a slow decay of vibration from the tuning fork. The degree of vibratory sense loss can be crudely estimated by counting the number of seconds that the examiner can perceive the vibration longer than the patient.	校对中...
HP:0002497	Spastic ataxia	痉挛性共济失调		
HP:0002500	Abnormal cerebral white matter morphology	脑白质形态异常	An abnormality of the cerebral white matter.	校对中...
HP:0002501	Spasticity of pharyngeal muscles	喉头痉挛		
HP:0002503	Spinocerebellar tract degeneration	脊髓小脑束变性		
HP:0002504	Calcification of the small brain vessels	脑小血管钙化	Deposition of calcium salts within small blood vessels of the brain.	校对中...
HP:0002505	Progressive inability to walk	进行性行走不能		
HP:0002506	Diffuse cerebral atrophy	弥漫性脑萎缩	Diffuse unlocalised atrophy affecting the cerebrum.	校对中...
HP:0002507	Semilobar holoprosencephaly	半脑叶前脑无裂畸形	A type of holoprosencephaly in which the left and right frontal and parietal lobes are fused and the interhemispheric fissure is only present posteriorly.	校对中...
HP:0002508	Brainstem dysplasia	脑干发育不良	A developmental structural anomaly of the stalk-like part of the brain that comprises the midbrain (aka mesencephalon), the pons (aka pons Varolii), and the medulla oblongata, and connects the cerebral hemispheres with the cervical spinal cord.	校对中...
HP:0002509	Limb hypertonia	肢体张力亢进		
HP:0002510	Spastic tetraplegia	痉挛性四肢瘫	Spastic paralysis affecting all four limbs.	校对中...
HP:0002511	Alzheimer disease	阿尔茨海默病	A degenerative disease of the brain characterized by the insidious onset of dementia. Impairment of memory, judgment, attention span, and problem solving skills are followed by severe apraxia and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of senile plaques, neurofibrillary tangles, and neuropil threads.	校对中...
HP:0002512	Brain stem compression	脑干受压		
HP:0002514	Cerebral calcification	脑钙化	The presence of calcium deposition within brain structures.	校对中...
HP:0002515	Waddling gait	蹒跚步态	Weakness of the hip girdle and upper thigh muscles, for instance in myopathies, leads to an instability of the pelvis on standing and walking. If the muscles extending the hip joint are affected, the posture in that joint becomes flexed and lumbar lordosis increases. The patients usually have difficulties standing up from a sitting position. Due to weakness in the gluteus medius muscle, the hip on the side of the swinging leg drops with each step (referred to as Trendelenburg sign). The gait appears waddling. The patients frequently attempt to counteract the dropping of the hip on the swinging side by bending the trunk towards the side which is in the stance phase (in the German language literature this is referred to as Duchenne sign). Similar gait patterns can be caused by orthopedic conditions when the origin and the insertion site of the gluteus medius muscle are closer to each other than normal, for instance due to a posttraumatic elevation of the trochanter or pseudarthrosis of the femoral neck.	校对中...
HP:0002516	Increased intracranial pressure	颅内压增高	An increase of the pressure inside the cranium (skull) and thereby in the brain tissue and cerebrospinal fluid.	校对中...
HP:0002518	Abnormal periventricular white matter morphology	脑室周围白质形态异常	A structural abnormality of the myelinated axons (white matter) located near the cerebral ventricles.	校对中...
HP:0002519	Hypnagogic hallucinations	睡前幻觉	Fleeting perceptual experiences that occur during the transition from wakefulness to sleep.	校对中...
HP:0002521	Hypsarrhythmia	高度失律	Hypsarrhythmia is abnormal interictal high amplitude waves and a background of irregular spikes. There is continuous (during wakefulness), high-amplitude (>200 Hz), generalized polymorphic slowing with no organized background and multifocal spikes demonstrated by electroencephalography (EEG).	校对中...
HP:0002522	Areflexia of lower limbs	下肢反射消失	Inability to elicit tendon reflexes in the lower limbs.	校对中...
HP:0002524	Cataplexy	猝倒症	A sudden and transient episode of bilateral loss of muscle tone, often triggered by emotions.	校对中...
HP:0002526	Deficit in nonword repetition	非词复述缺陷	Impaired ability to repeat non-word sounds. Nonword repetition (NWR) is a measure of short-term phonological memory.	校对中...
HP:0002527	Falls	跌倒		
HP:0002528	Granulovacuolar degeneration	颗粒空泡变性	Electron-dense granules within double membrane-bound cytoplasmic vacuoles.	校对中...
HP:0002529	Neuronal loss in central nervous system	中枢神经系统神经元损失		
HP:0002530	Axial dystonia	轴向肌张力障碍	A type of dystonia that affects the midline muscles, i.e., the chest, abdominal, and back muscles.	校对中...
HP:0002533	Abnormal posturing	姿势异常	Involuntary flexion or extension of the arms and legs.	校对中...
HP:0002536	Abnormal cortical gyration	脑皮质沟回异常	An abnormality of the gyri (i.e., the ridges) of the cerebral cortex of the brain.	校对中...
HP:0002538	Abnormal cerebral cortex morphology	大脑皮层形态异常	Any structural abnormality of the cerebral cortex.	校对中...
HP:0002539	Cortical dysplasia	皮质发育不良	The presence of developmental dysplasia of the cerebral cortex.	校对中...
HP:0002540	Inability to walk	行走不能	Incapability to ambulate.	校对中...
HP:0002542	Olivopontocerebellar atrophy	橄榄桥脑小脑萎缩	Neuronal degeneration in the cerebellum, pontine nuclei, and inferior olivary nucleus.	校对中...
HP:0002544	Retrocollis	颈后倾	A form of torticollis in which the head is drawn back, either due to a permanent contractures of neck extensor muscles, or to a spasmodic contracture.	校对中...
HP:0002545	Patchy demyelination of subcortical white matter	皮层下白质片状脱髓鞘	Patchy loss of myelin from nerve fibers in the central nervous system.	校对中...
HP:0002546	Incomprehensible speech	难以理解的言语		
HP:0002548	Parkinsonism with favorable response to dopaminergic medication	对多巴胺能药物反应良好的帕金森	Parkinsonism is a clinical syndrome that is a feature of a number of different diseases, including Parkinson disease itself, other neurodegenerative diseases such as progressive supranuclear palsy, and as a side-effect of some neuroleptic medications. Some but not all individuals with Parkinsonism show responsiveness to dopaminergic medication defined as a substantial reduction of amelioration of the component signs of Parkinsonism (including mainly tremor, bradykinesia, rigidity, and postural instability) upon administration of dopaminergic medication.	校对中...
HP:0002549	Deficit in phonologic short-term memory	语音短时记忆缺陷	Impaired ability to repeat non-word sounds. The test for nonword repetition involves the repetition of nonsensical words of increasing length and complexity and is regarded as a measure of phonological (speech sound) processing and short-term memory	校对中...
HP:0002550	Absent facial hair	面部毛发稀疏	Absence of facial hair.	校对中...
HP:0002552	Trichodysplasia	毛发发育异常	Developmental dysplasia of the hair.	校对中...
HP:0002553	Highly arched eyebrow	高拱形眉毛	Increased height of the central portion of the eyebrow, forming a crescent, semicircular, or inverted U shape.	校对中...
HP:0002555	Absent pubic hair	阴毛缺失	Absence of pubic hair.	校对中...
HP:0002557	Hypoplastic nipples	乳头发育不良	Underdevelopment of the nipple.	校对中...
HP:0002558	Supernumerary nipple	多乳头	Presence of more than two nipples.	校对中...
HP:0002561	Absent nipple	乳头缺失	Congenital failure to develop, and absence of, the nipple.	校对中...
HP:0002562	Low-set nipples	乳头低位	Placement of the nipples at a lower than normal location.	校对中...
HP:0002563	Constrictive pericarditis	缩窄性心包炎	Presence of a thickened, fibrotic pericardium that forms a non-compliant shell around the heart, and resulting from chronic inflammation of the pericardium.	校对中...
HP:0002566	Intestinal malrotation	肠旋转不良	An abnormality of the intestinal rotation and fixation that normally occurs during the development of the gut. This can lead to volvulus, or twisting of the intestine that causes obstruction and necrosis.	校对中...
HP:0002570	Steatorrhea	脂肪泻	Greater than normal amounts of fat in the feces. This is a result of malabsorption of lipids in the small intestine and results in frothy foul-smelling fecal matter that floats.	校对中...
HP:0002571	Achalasia	贲门失弛缓症	A disorder of esophageal motility characterized by the inability of the lower esophageal sphincter to relax during swallowing and by inadequate or lacking peristalsis in the lower half of the body of the esophagus.	校对中...
HP:0002572	Episodic vomiting	阵发性呕吐	Paroxysmal, recurrent episodes of vomiting.	校对中...
HP:0002573	Hematochezia	便血	The passage of fresh (red) blood per anus, usually in or with stools. Most rectal bleeding comes from the colon, rectum, or anus.	校对中...
HP:0002574	Episodic abdominal pain	阵发性腹痛	An intermittent form of abdominal pain.	校对中...
HP:0002575	Tracheoesophageal fistula	气管食管瘘	An abnormal connection (fistula) between the esophagus and the trachea.	校对中...
HP:0002576	Intussusception	肠套叠	An abnormality of the intestine in which part of the intestine invaginates (telescopes) into another part of the intestine.	校对中...
HP:0002577	Abnormal stomach morphology	胃形态异常	An abnormality of the stomach.	校对中...
HP:0002578	Gastroparesis	胃轻瘫	Decreased strength of the muscle layer of stomach, which leads to a decreased ability to empty the contents of the stomach despite the absence of obstruction.	校对中...
HP:0002579	Gastrointestinal dysmotility	胃肠动力障碍	Abnormal intestinal contractions, such as spasms and intestinal paralysis, related to the loss of the ability of the gut to coordinate muscular activity because of endogenous or exogenous causes.	校对中...
HP:0002580	Volvulus	肠扭转	Abnormal twisting of a portion of intestine around itself or around a stalk of mesentery tissue.	校对中...
HP:0002582	Chronic atrophic gastritis	慢性萎缩性胃炎	A form of chronic gastritis associated with atrophic gastric mucous membrane.	校对中...
HP:0002583	Colitis	结肠炎	Colitis refers to an inflammation of the colon and is often used to describe an inflammation of the large intestine (colon, cecum and rectum). Colitides may be acute and self-limited or chronic, and broadly fit into the category of digestive diseases.	校对中...
HP:0002584	Intestinal bleeding	肠道出血	Bleeding from the intestines.	校对中...
HP:0002585	Abnormality of the peritoneum	腹膜异常	An abnormality of the peritoneum.	校对中...
HP:0002586	Peritonitis	腹膜炎	Inflammation of the peritoneum.	校对中...
HP:0002587	Projectile vomiting	喷射性呕吐	Vomiting that ejects the gastric contents with great force.	校对中...
HP:0002588	Duodenal ulcer	十二指肠溃疡	An erosion of the mucous membrane in a portion of the duodenum.	校对中...
HP:0002589	Gastrointestinal atresia	消化道闭锁		
HP:0002590	Paralytic ileus	麻痹性肠梗阻		
HP:0002591	Polyphagia	多食	A neurological anomaly with gross overeating associated with an abnormally strong desire or need to eat.	校对中...
HP:0002592	Gastric ulcer	胃溃疡	An ulcer, that is, an erosion of an area of the gastric mucous membrane.	校对中...
HP:0002593	Intestinal lymphangiectasia	肠淋巴管扩张	Angiectasia of lymph vessels (i.e., dilatation of lymphatic vessels) in the intestines.	校对中...
HP:0002594	Pancreatic hypoplasia	胰腺发育不良	Hypoplasia of the pancreas.	校对中...
HP:0002595	Ileus	肠梗阻	Acute obstruction of the intestines preventing passage of the contents of the intestines.	校对中...
HP:0002597	Abnormality of the vasculature	脉管系统异常	An abnormality of the vasculature.	校对中...
HP:0002599	Head titubation	点头	A head tremor of moderate speed (3 to 4 Hz) in the anterior-posterior direction.	校对中...
HP:0002600	Hyporeflexia of lower limbs	下肢反射减弱	Reduced intensity of muscle tendon reflexes in the lower limbs. Reflexes are elicited by stretching the tendon of a muscle, e.g., by tapping.	校对中...
HP:0002601	Paresis of extensor muscles of the big toe	拇趾伸肌麻痹		
HP:0002604	Gastrointestinal telangiectasia	胃肠道毛细血管扩张	Telangiectasia affecting the gastrointestinal tract.	校对中...
HP:0002605	Hepatic necrosis	肝坏死	The presence of cell death (necrosis) affecting the liver.	校对中...
HP:0002607	Bowel incontinence	大便失禁	Involuntary fecal soiling in adults and children who have usually already been toilet trained.	校对中...
HP:0002608	Celiac disease	乳糜泻	Celiac disease (CD) is an autoimmune condition affecting the small intestine, triggered by the ingestion of gluten, the protein fraction of wheat, barley, and rye. Clinical manifestations of CD are highly variable and include both gastrointestinal and non-gastrointestinal features. The hallmark of CD is an immune-mediated enteropathy. This term is included because the occurence of CD is seen as a feature of a number of other diseases.	校对中...
HP:0002611	Cholestatic liver disease	胆汁淤积性肝病		
HP:0002612	Congenital hepatic fibrosis	先天性肝纤维化	The presence of fibrosis of that part of the liver with congenital onset.	校对中...
HP:0002613	Biliary cirrhosis	胆汁性肝硬化	Progressive destruction of the small-to-medium bile ducts of the intrahepatic biliary tree, which leads to progressive cholestasis and often end-stage liver disease.	校对中...
HP:0002614	Hepatic periportal necrosis	肝脏门脉周围坏死	A type of hepatic necrosis that is concentrated around the necrosis of hepatocytes localized around the intrahepatic branch of portal vein.	校对中...
HP:0002615	Hypotension	低血压	Low Blood Pressure, vascular hypotension.	校对中...
HP:0002616	Aortic root aneurysm	主动脉根部瘤	An abnormal localized widening (dilatation) of the aortic root.	校对中...
HP:0002617	Vascular dilatation	血管扩张	Abnormal outpouching or sac-like dilatation in the wall of an atery, vein or the heart.	校对中...
HP:0002619	Varicose veins	静脉曲张	Enlarged and tortuous veins.	校对中...
HP:0002621	Atherosclerosis	动脉粥样硬化	A condition characterized by patchy atheromas or atherosclerotic plaques which develop in the walls of medium-sized and large arteries and can lead to arterial stenosis with reduced or blocked blood flow.	校对中...
HP:0002623	Overriding aorta	主动脉骑跨	An overriding aorta is a congenital heart defect where the aorta is positioned directly over a ventricular septal defect, instead of over the left ventricle. The result is that the aorta receives some blood from the right ventricle, which reduces the amount of oxygen in the blood. It is one of the four conditions of the Tetralogy of Fallot. The aortic root can be displaced toward the front (anteriorly) or directly above the septal defect, but it is always abnormally located to the right of the root of the pulmonary artery. The degree of override is quite variable, with 5-95% of the valve being connected to the right ventricle.	校对中...
HP:0002624	Abnormal venous morphology	静脉形态异常	An anomaly of vein.	校对中...
HP:0002625	Deep venous thrombosis	深静脉血栓形成	Formation of a blot clot in a deep vein. The clot often blocks blood flow, causing swelling and pain. The deep veins of the leg are most often affected.	校对中...
HP:0002626	Venous varicosities of celiac and mesenteric vessels	腹腔和肠系膜血管静脉曲张	Elongated and tortuous mesenteric veins, which comprise the inferior mesenteric vein and the superior mesenteric vein.	校对中...
HP:0002627	Right aortic arch with mirror image branching	右位主动脉弓伴镜像分支	The aortic arch crosses the right mainstem bronchus and not the left mainstem bronchus, but does not result in the creation of a vascular ring. The first branch is the left brachiocephalic artery which divides into the left carotid artery and left subclavian artery, the second branch is the right carotid artery, the third branch is the right subclavian artery.	校对中...
HP:0002629	Gastrointestinal arteriovenous malformation	胃肠道动静脉畸形	An anomalous configuration of blood vessels that shunts arterial blood directly into veins without passing through the capillaries and that is located in the gastrointestinal tract.	校对中...
HP:0002630	Fat malabsorption	脂肪吸收障碍	Abnormality of the absorption of fat from the gastrointestinal tract.	校对中...
HP:0002632	Low-to-normal blood pressure	低至正常血压		
HP:0002633	Vasculitis	血管炎	Inflammation of blood vessel.	校对中...
HP:0002634	Arteriosclerosis	动脉硬化	Sclerosis (hardening) of the arteries with increased thickness of the wall of arteries as well as increased stiffness and a loss of elasticity.	校对中...
HP:0002635	Type IV atherosclerotic lesion	IV型动脉粥样硬化病变	In type IV atherosclerotic lesions a dense accumulation of extracellular lipid occupies an extensive but well-defined region of the intima. This type of extracellular lipid accumulation is known as the lipid core. A fibrous tissue increase is not a feature, and complications such as defects of the lesion surface and thrombosis are not present. The type IV lesion is also known as atheroma. Type IV is the first lesion considered advanced in this classification because of the severe intimal disorganization caused by the lipid core. The characteristic core appears to develop from an increase and the consequent confluence of the small isolated pools of extracellular lipid that characterize type III lesions. The increase in lipid is believed to result from continued insudation from the plasma. Type IV lesions, when they first appear in younger people, are found in the same locations as adaptive intimal thickenings of the eccentric type. Thus, atheroma is, at least initially, an eccentric lesion.	校对中...
HP:0002636	Dilatation of an abdominal artery	腹部动脉扩张	Abnormal outpouching or sac-like dilatation in an artery that originates from he abdominal aorta.	校对中...
HP:0002637	Cerebral ischemia	脑缺血		
HP:0002638	Superficial thrombophlebitis	浅表性血栓性静脉炎	Inflammation of a superficial vein associated with venous thrombosis (blood clot formation within the vein).	校对中...
HP:0002639	Budd-Chiari syndrome	Budd-Chiari综合征	Budd-Chiari syndrome (BCS) is caused by obstruction of hepatic venous outflow at any level from the small hepatic veins to the junction of the inferior vena cava (IVC) with the right atrium, 1 and occurs in 1/100,000 of the general population worldwide. The most common presentation is with ascites, but can range from fulminant hepatic failure (FHF) to asymptomatic forms. Obstruction of hepatic venous outflow is mainly caused by primary intravascular thrombosis, which can occur suddenly or be repeated over time, accompanied by some revascularization, accounting for the variable parenchymal hepatic damage and histologic presentation. Budd-Chiari syndrome is thus a disease, but since it occurs as a manifestation of several other diseases, this term is kept for the present for convenience.	校对中...
HP:0002640	Hypertension associated with pheochromocytoma	嗜铬细胞瘤高血压	A type of hypertension associated with pheochromocytoma.	校对中...
HP:0002641	Peripheral thrombosis	外周血栓形成		
HP:0002642	Arteriovenous fistulas of celiac and mesenteric vessels	腹腔及肠系膜血管动静脉瘘		
HP:0002643	Neonatal respiratory distress	新生儿呼吸窘迫	Respiratory difficulty as newborn.	校对中...
HP:0002644	Abnormality of pelvic girdle bone morphology	盆骨形态异常	An abnormality of the bony pelvic girdle, which is a ring of bones connecting the vertebral column to the femurs.	校对中...
HP:0002645	Wormian bones	缝间骨	The presence of extra bones within a cranial suture. Wormian bones are irregular isolated bones which appear in addition to the usual centers of ossification of the cranium.	校对中...
HP:0002647	Aortic dissection	主动脉夹层	Aortic dissection refers to a tear in the intimal layer of the aorta causing a separation between the intima and the medial layers of the aorta.	校对中...
HP:0002648	Abnormality of calvarial morphology	颅骨形态异常	The presence of an abnormal shape of the calvaria (skullcap), that is, of that part of the skull that is made up of the superior portions of the frontal bone, occipital bone, and parietal bones and covers the cranial cavity that contains the brain.	校对中...
HP:0002650	Scoliosis	脊柱侧弯	The presence of an abnormal lateral curvature of the spine.	校对中...
HP:0002651	Spondyloepimetaphyseal dysplasia	脊椎干骺端发育不良		
HP:0002652	Skeletal dysplasia	骨骼发育不良	A general term describing features characterized by abnormal development of bones and connective tissues.	校对中...
HP:0002653	Bone pain	骨痛	An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to bone.	校对中...
HP:0002654	Multiple epiphyseal dysplasia	多发性骨骺发育不良		
HP:0002655	Spondyloepiphyseal dysplasia	脊椎骨骺发育不良	A disorder of bone growth affecting the vertebrae and the ends of the long bones (epiphyses).	校对中...
HP:0002656	Epiphyseal dysplasia	骨骺发育不良		
HP:0002657	Spondylometaphyseal dysplasia	脊椎干骺端发育不良		
HP:0002659	Increased susceptibility to fractures	骨折易感性增加	An abnormally increased tendency to fractures of bones caused by an abnormal reduction in bone strength that is generally associated with an increased risk of fracture.	校对中...
HP:0002661	Painless fractures due to injury	外伤性无痛骨折	An increased tendency to fractures following trauma, with fractures occurring without pain.	校对中...
HP:0002663	Delayed epiphyseal ossification	骨骺骨化延迟		
HP:0002664	Neoplasm	肿瘤	An organ or organ-system abnormality that consists of uncontrolled autonomous cell-proliferation which can occur in any part of the body as a benign or malignant neoplasm (tumour).	校对中...
HP:0002665	Lymphoma	淋巴瘤	A cancer originating in lymphocytes and presenting as a solid tumor of lymhpoid cells.	校对中...
HP:0002666	Pheochromocytoma	嗜铬细胞瘤	Pheochromocytomas (also known as chromaffin tumors) produce, store, and secrete catecholamines. Pheochromocytomas usually originate from the adrenal medulla but may also develop from chromaffin cells in or about sympathetic ganglia. A common symptom of pheochromocytoma is hypertension owing to release of catecholamines.	校对中...
HP:0002667	Nephroblastoma	肾母细胞瘤	The presence of a nephroblastoma, which is a neoplasm of the kidney that primarily affects children.	校对中...
HP:0002668	Paraganglioma	副神经节瘤	A carotid body tumor (also called paraganglionoma or chemodectoma) is a tumor found in the upper neck at the branching of the carotid artery. They arise from the chemoreceptor organ (paraganglion) located in the adventitia of the carotid artery bifurcation.	校对中...
HP:0002669	Osteosarcoma	骨肉瘤	A malignant bone tumor that usually develops during adolescence and usually affects the long bones including the tibia, femur, and humerus. The typical symptoms of osteosarcoma comprise bone pain, fracture, limitation of motion, and tenderness or swelling at the site of the tumor.	校对中...
HP:0002671	Basal cell carcinoma	基底细胞癌	The presence of a basal cell carcinoma of the skin.	校对中...
HP:0002672	Gastrointestinal carcinoma	胃肠道癌		
HP:0002673	Coxa valga	髋外翻	Coxa valga is a deformity of the hip in which the angle between the femoral shaft and the femoral neck is increased compared to age-adjusted values (about 150 degrees in newborns gradually reducing to 120-130 degrees in adults).	校对中...
HP:0002676	Cloverleaf skull	分叶状颅	Trilobar skull configuration when viewed from the front or behind.	校对中...
HP:0002677	Small foramen magnum	枕大孔狭窄	An abnormal narrowing of the foramen magnum.	校对中...
HP:0002678	Skull asymmetry	头骨不对称		
HP:0002679	Abnormal sella turcica morphology	蝶鞍形态异常	Abnormality of the sella turcica, a saddle-shaped depression in the sphenoid bone at the base of the human skull.	校对中...
HP:0002680	J-shaped sella turcica	J形蝶鞍	A deformity of the sella turcica whereby the sella extends further anterior than normal such that the anterior clinoid process appears to overhang it, giving the appearance of the letter J on imaging of the skull.	校对中...
HP:0002681	Deformed sella turcica	蝶鞍畸形		
HP:0002682	Broad skull	颅骨增宽	Increased width of the skull.	校对中...
HP:0002683	Abnormality of the calvaria	颅骨异常	Abnormality of the calvaria, which is the roof of the skull formed by the frontal bone, parietal bones, and occipital bone.	校对中...
HP:0002684	Thickened calvaria	颅骨过厚	The presence of an abnormally thick calvaria.	校对中...
HP:0002686	Prenatal maternal abnormality	产前母体异常		
HP:0002687	Abnormality of frontal sinus	额窦异常	An abnormality of the frontal sinus, one of the mucosa-lined, normally air-filled paranasal sinuses of the bones of the skull. The frontal sinus is located within the frontal bone.	校对中...
HP:0002688	Absent frontal sinuses	额窦缺如	Aplasia of frontal sinus.	校对中...
HP:0002689	Absent paranasal sinuses	副鼻窦缺如	Aplasia of the paranasal sinuses.	校对中...
HP:0002690	Large sella turcica	大蝶鞍	An abnormal enlargement of the sella turcica.	校对中...
HP:0002691	Platybasia	颅底扁平症	A developmental malformation of the occipital bone and upper end of the cervical spine, in which the latter appears to have pushed the floor of the occipital bone upward such that there is an abnormal flattening of the skull base.	校对中...
HP:0002692	Hypoplastic facial bones	面部骨骼发育不全		
HP:0002693	Abnormality of the skull base	颅底异常	An abnormality of the base of the skull, which forms the floor of the cranial cavity and separates the brain from other facial structures. The skull base is made up of five bones: the ethmoid, sphenoid, occipital, paired frontal, and paired parietal bones, and is subdivided into 3 regions: the anterior, middle, and posterior cranial fossae. The petro-occipital fissure subdivides the middle cranial fossa into 1 central component and 2 lateral components.	校对中...
HP:0002694	Sclerosis of skull base	颅底硬化	Increased bone density of the skull base without significant changes in bony contour.	校对中...
HP:0002695	Symmetrical, oval parietal bone defects	顶骨对称性椭圆形缺损		
HP:0002696	Abnormal parietal bone morphology	顶骨形态异常	Any abnormality of the parietal bone of the skull.	校对中...
HP:0002697	Parietal foramina	顶骨孔	The presence of symmetrical and circular openings (foramina) in the parietal bone ranging in size from a few millimeters to several centimeters wide.	校对中...
HP:0002699	Abnormal foramen magnum morphology	枕骨大孔形态异常	Any abnormality of the foramen magnum.	校对中...
HP:0002700	Large foramen magnum	大枕骨大孔	An abnormal increase in the size of the foramen magnum.	校对中...
HP:0002703	Abnormality of skull ossification	颅骨骨化异常	An abnormality of the process of ossification of the skull.	校对中...
