HPO编号	名称(中文)	定义(中文)
HP:0001845	趾重叠	描述脚位上的相邻数字的背水面休息时脚是在休息。
HP:0001847	拇指长	在'大toe`的长度增加（FMA:25047）。
HP:0001848	足外翻变形	这是在其中所述脚定位靠在胫骨中的姿势畸形。鞋跟（跟骨）被向下定位（即，踝向上弯曲），和足跟接通向外（外翻）。
HP:0001849	少指（趾）畸形	一个发育缺陷造成比脚趾的正常数量少的存在。
HP:0001850	跗骨异常	跗骨的异常，跗骨是足部由七个骨头组成的骨头群，位于胫骨、腓骨和跖骨之间，包括跟骨（脚跟骨）和距骨（脚踝）骨。
HP:0001852	趾指畸形	第一趾（大脚趾）和第二趾之间的间距很大差距。
HP:0001853	脚趾末节指骨骨裂	
HP:0001854	痛风（脚）	`Gout`（HP:0001997）影响大toe`的`跖趾关节。
HP:0001857	末节趾骨短小	从脚趾末端到最远端指间折痕或远侧指间关节屈曲点，即距离短，toe`的异常短`末节指骨（FMA:75830）。
HP:0001859	远端趾关节粘连（脚）	
HP:0001862	肢端溃疡和骨髓炎导致脚趾自发性离断	
HP:0001863	脚趾屈指畸形	脚趾向胫骨侧（即朝大脚趾）弯曲。
HP:0001864	第五趾弯曲	弯曲或'第五toe`（FMA:25053）的曲率在胫骨方向（即朝大脚趾）。
HP:0001868	脚自发性离断	
HP:0001869	跖部深在皱褶	跖部皮肤明显的皱褶（呈脊或皱纹）。
HP:0001870	远端趾骨肢端溶骨症	
HP:0001871	血液和造血组织异常	在造血系统的异常（FMA:9667）。
HP:0001872	血小板异常	血小板异常（CL:0000233）。
HP:0001873	血小板减少	血循环中血小板（:0000762 CL）的数量的减少。
HP:0001874	中性粒细胞异常	中性粒细胞（CL:0000775）异常。
HP:0001875	中性粒细胞减少	外周血中性粒细胞数目异常降低。
HP:0001876	全血细胞减少	所有血细胞类型的数目的异常降低（红细胞，白细胞，和血小板）。
HP:0001877	红细胞异常	红细胞异常（CL:0000232）（红血细胞）。
HP:0001878	溶血性贫血	一型由血红细胞（溶血）过早破坏引起贫血。
HP:0001879	嗜酸性粒细胞异常	嗜酸性粒细胞（CL:0000771）异常。
HP:0001880	嗜酸粒细胞增多	在外周血中（FMA:9670）嗜酸粒细胞（CL:0000771）增加。
HP:0001881	白细胞异常	白细胞的异常（CL:0000738）。
HP:0001882	白细胞减少症	血液中白细胞（CL:0000738）的数量异常减少。
HP:0001883	畸形足	足和踝部的变形，有不同的亚型:马蹄内翻足、马蹄外翻足、仰趾内翻足和仰趾外翻足。
HP:0001884	仰趾外翻足	仰趾外翻足是一种柔软的足畸形（相对于僵硬的先天性垂直型距骨变形足），可以任一形式出现，位置性的或结构性的足变形，取决于其严重性和/或病因。 仰趾外翻足变形的轴线是在胫距关节，足的位置处于极端过伸状态。脚呈现“向上向外”的外观，足背几乎接触到踝关节和小腿的前部。
HP:0001885	第2趾短	在'第二toe`不发达（发育不全）（FMA:25048）。
HP:0001886	由于感觉神经病变导致的末节骨髓炎或坏死（脚/足）	
HP:0001888	淋巴细胞减少症	血液中的淋巴细胞（0000542 CL）的数量减少。
HP:0001889	巨幼细胞性贫血	比正常细胞体积大的幼红细胞（巨幼红细胞）为特征的贫血。
HP:0001890	自身免疫性溶血性贫血	一种与自身免疫有关的溶血性贫血（HP:0001878）。
HP:0001891	缺铁性贫血	
HP:0001892	出血异常	异常出血，通常称为出血易感性体质。出血体质可能与血管、血小板和凝血功能障碍相关。
HP:0001894	血小板增多	在外周血血小板的数目增高。
HP:0001895	正常色素性贫血	
HP:0001896	网状细胞减少	外周血的网状细胞（CL:0000558）的数量减少。
HP:0001897	正常红细胞性贫血	一种贫血，其中红血细胞的体积是正常的。
HP:0001898	红细胞增多症	循环中的的红血细胞量增加。
HP:0001899	红细胞压积增高	在血液检测样本中红细胞累积体积增加。
HP:0001900	血红蛋白浓度增加	
HP:0001901	红细胞增多症	红细胞增多症的诊断原则是红细胞计数、血红蛋白水平和红细胞体积都超过正常值的上限。
HP:0001902	巨血小板	巨血小板大于7微米，并且通常为10至20微米。当血小板比该领域的平均红细胞的大小大时称为巨血小板。 （来自美国病理学院，血液学手册，1998年描述改编）。
HP:0001903	贫血	红细胞（CL :0000232）体积或血红蛋白浓度的减少。
HP:0001904	自身免疫性中性粒细胞减少	自体免疫诱导的中性粒细胞减少（HP:0001875）。
HP:0001905	先天性血小板减少	先天性发病的血小板减少症。
HP:0001907	血栓栓塞症	血管内血栓形成，随后通过血液从原发处移动至体内另一个部位，通常导致远端部位血管闭塞。
HP:0001908	再生不良性贫血	贫血伴有不同程度的红细胞发育不全，无白细胞或血小板减少。
HP:0001909	白血病	由于白细胞的异常增殖的引起的发生在血液和骨髓的癌症。
HP:0001911	粒细胞异常	粒细胞异常（CL:0000094）。
HP:0001912	嗜碱性粒细胞异常	嗜碱性粒细胞（CL:0000767）异常。
HP:0001913	粒细胞减少	在外周血中粒细胞（0000094 CL）的数量异常减少（FMA:9670）。
HP:0001915	再生障碍性贫血	再生障碍性贫血指全血细胞减少与骨髓增生低下。
HP:0001917	肾淀粉样病变	淀粉样病变累及到肾。
HP:0001919	急性肾损伤	突然失却肾功能，表现为尿量减少，血清肌酐和尿素氮浓度上升（氮质血症）。
HP:0001920	肾动脉狭窄	肾动脉发生狭窄。
HP:0001922	空泡性淋巴细胞	淋巴细胞细胞质中存在明确的、清晰的空泡。
HP:0001923	网状细胞过多	在外周血液循环中网状细胞（CL:0000558 ）（未成熟的红细胞）的数目增加。
HP:0001924	铁粒幼细胞性贫血	铁粒幼细胞性贫血是由于铁掺入血红蛋白分子的缺陷。铁粒幼红是有铁质沉淀于细胞质（这可以通过普鲁士蓝染色证明）的红细胞。
HP:0001927	棘形红细胞增多症	棘形红细胞增多症是血细胞形态的多样性（HP:0004447）的一种类型，其特征在细胞表面出现尖峰样突起。该细胞形状不规则类似于五角星。
HP:0001928	凝血异常	凝血的过程异常（GO:0007596）。也就是说，凝血能力改变或无效。
HP:0001929	XI凝血因子活性降低	`凝血因子XI`（PR:000007295）的活性降低。因子XI，也被称为血浆凝血激酶的前体，是一种丝氨酸蛋白酶可以激活因子IX。
HP:0001930	非椭圆形细胞性溶血性贫血	
HP:0001931	低色素性贫血	一型贫血，特征在于红细胞血红蛋白浓度异常低。
HP:0001933	皮下出血	指的是毛细血管脆性增加（表现为紫癜，瘀点或瘀斑）。
HP:0001934	外伤后持续性出血	
HP:0001935	小细胞性贫血	一种贫血，特征为红细胞的体积减小。
HP:0001937	微血管病性溶血性贫血	
HP:0001939	代谢紊乱/稳态失衡	
HP:0001941	酸中毒	酸堆积或碱消耗的异常。
HP:0001942	代谢性酸中毒	酸积累或碱在身体的消耗由于代谢酸堆积。
HP:0001943	低血糖	在`blood`（FMA:9670）一个`下降concentration`（PATO:0001163）的`glucose`（17234 CHEBI）。
HP:0001944	脱水	
HP:0001945	发热	体温升高，由于没有体温。
HP:0001946	酮症	存在在体内酮体水平升高。
HP:0001947	肾小管性酸中毒	由于肾小管功能异常造成代谢酸累积和高氯血症，可能导致的并发症包括低钾血症、高钙血症、肾结石和肾钙质沉着。
HP:0001948	碱中毒	体液内的酸消耗或碱堆积。
HP:0001949	低钾性碱中毒	
HP:0001950	呼吸性碱中毒	性碱中毒由于二氧化碳从身体过剩损耗。
HP:0001951	阵发性氨中毒	
HP:0001952	糖耐量异常	对抗（PATO:0000460）`葡萄糖`（CHEBI:17234），的`异常`（PATO:0001046）即口服或静脉内注射葡萄糖后，维持血流中的葡萄糖水平在正常范围内的能力降低。
HP:0001953	糖尿病酮症酸中毒	一种伴有酮体累积的糖尿病代谢异常。
HP:0001954	阵发性发热	发热周期性（发作或复发）发作。
HP:0001955	不明原因的发热	发热的发作的量没有感染原因可被识别。
HP:0001956	躯干性肥胖	肥胖症在相对于末端的身体躯干位于优先。肥胖主要位于躯干部分而非四肢部分。
HP:0001958	非酮症性低血糖	
HP:0001959	烦渴	
HP:0001960	低钾性代谢性碱中毒	
HP:0001961	心脏发育不全	心脏发育不全
HP:0001962	心悸	心脏在砰砰地跳或竞态的感觉，这是一种非特异性体征，但可能是心律失常的一种表现。
HP:0001963	言语辨别异常	一种听力损伤的显著特征是难以理解语音，而不是不能听到语音。贫乏的言语识别力是高频听力损失很常见的症状。
HP:0001964	跖骨发育不全或发育低下	缺席或跖骨不发达。
HP:0001965	头皮异常	头皮的异常
HP:0001966	肾小球系膜异常症	肾小球系膜（即毛细管之间的肾小球中心部分）的异常。
HP:0001967	弥漫性肾小球系膜硬化	系膜的弥漫性硬化，因弥漫性系膜基质扩张所致。
HP:0001969	肾小管间质异常	涉及肾小管和肾间质组织的异常。
HP:0001970	肾小管间质性肾炎	一种肾脏炎症，影响到肾小管周围的肾间质。
HP:0001971	脾功能亢进	脾功能失常而过早地破坏红细胞。
HP:0001972	大细胞性贫血	一型贫血，特征为平均红细胞体积（MCV）增加，和平均红细胞血红蛋白含量（MCH）增加。
HP:0001973	自身免疫性血小板减少症	与抗血小板抗体相关的血小板减少。
HP:0001974	白细胞增多	血液中白细胞（CL:0000738）的数量异常增加。
HP:0001975	血小板糖蛋白Ⅱb-IIIA减少	血小板膜糖蛋白Ⅱb-IIIA降低。
HP:0001976	抗凝血酶Ⅲ活性降低	与抗凝血酶III（:000003252 PR）浓度（PATO:0001163）下降相关的凝血异常（HP:0001928）。
HP:0001977	异常血栓形成	自发性静脉、动脉血栓形成（血凝块），且非获得性风险（例如，动脉粥样硬化）导致。
HP:0001978	骨髓外造血	发生在骨髓以外的部位（在肝脏，胸腺，脾脏）造血。
HP:0001980	巨幼细胞性骨髓	在骨髓中巨幼红细胞数目的异常增加。
HP:0001981	裂(红)细胞症	破损的红细胞数目异常。
HP:0001982	海蓝色组织细胞增多症	`巨噬细胞`（CL:0000235）的一种异常，也被称为组织细胞症，由于异常增加的脂质含量细胞呈现海蓝色外观。
HP:0001983	淋巴细胞表面CD43的表达减少（sialophorin）	在淋巴细胞表面的CD43（CL:0000542）的表达减少。
HP:0001984	蛋白质不耐受	
HP:0001985	低酮性低血糖	在`blood`（FMA:9670）与酮体浓度降低相关联的`减少concentration`（PATO:0001163）的`glucose`（17234 CHEBI）。
HP:0001986	高渗性脱水	
HP:0001987	高氨血症	在`blood`:`ammonia`（16134 CHEBI）浓度增加（FMA:9670）。
HP:0001988	反复发作性低血糖	`Recurrent`（PATO:0000427）在`blood`（FMA:9670）:对`glucose`（17234 CHEBI）发作`下降concentration`（0001163 PATO）。
HP:0001989	胎儿运动不能序列征	降低了与多发性关节挛缩，面部畸形和肺发育不良有关胎儿活动。超声检查可以揭示羊水过多，关节强直，头皮水肿，降低胸部运动（反映肺发育不良）。
HP:0001991	脚趾发育不全或发育低下	缺席或脚趾发育不全。
HP:0001992	有机酸尿症	尿液中非氨基有机酸排泄增加。
HP:0001993	酮症酸中毒	酸中毒从酮体蓄积造成。
HP:0001994	范可尼综合征	肾小管不能重吸收小分子，从而引起电解质（钠，钾，碳酸氢盐）、矿物质、葡萄糖、氨基酸和水从尿液中丢失。
HP:0001995	高氯性酸中毒	
HP:0001996	慢性代谢性酸中毒	长期代谢性酸中毒。
HP:0001997	痛风	的一个`关节急性炎性关节炎反复发作`（FMA:7490）或`设置joints`的（FMA:73023）:在`blood`（FMA引起的`尿酸acid`水平升高（27226 CHEBI）:9670 ），该结晶并沉积在关节，腱和周围组织。
HP:0001998	新生儿低血糖	
HP:0001999	面部形状异常	面部或其组成部分形态（形状）异常。
HP:0002000	鼻小柱短小	从鼻孔前缘到鼻中隔下点的距离减少。
HP:0002002	深人中	强调突出的人中脊，在鼻基与上红唇边缘之间正中形成夸张的凹槽
HP:0002003	大额头	
HP:0002006	面部裂	面部裂开（间隙或开口）的先天性畸形。
HP:0002007	前额突出	双侧额骨鼓胀， 中线的相对不受影响。
HP:0002009	波特相面容	胎儿或新生儿因经历了子宫羊水过少而形成的面部形态，特征包括眼距过宽，低置耳朵，回缩下巴，和扁平鼻子。
HP:0002010	颌骨狭窄	
HP:0002011	中枢神经系统的形态学异常	中枢神经系统（FMA:55675）的结构异常。
HP:0002012	腹部器官异常	腹部脏器的异常。
HP:0002013	呕吐	通过一系列无意识的痉挛收缩而使胃内容物经口有力喷射。
HP:0002014	腹泻	频次异常增加的松散或水样大便。
HP:0002015	吞咽困难	吞咽困难。
HP:0002017	恶心和呕吐	
HP:0002018	恶心	胃部不适伴随呕吐冲动的感觉。
HP:0002019	便秘	排便次数少或排便困难。
HP:0002020	胃食管反流	胃内容物自胃部通过下端食管括约肌回流到食管的现象。
HP:0002021	幽门狭窄	幽门异常狭窄。
HP:0002023	肛门闭锁	肛门，即肠道末端的开口的先天性缺失。
HP:0002024	吸收不良	从肠道吸收一种或多种营养素的能力受损。
HP:0002025	肛门狭窄	肛门口异常狭窄。
HP:0002027	腹痛	源于腹部的痛感。
HP:0002028	慢性腹泻	通常指持续4周以上的腹泻。
HP:0002031	食管异常	食管的异常。
HP:0002032	食管闭锁	一种导致食管腔完全闭锁的发育缺陷，食管末端形成一盲袋而非连接于胃。
HP:0002033	吸吮无力	一种吸吮反射不足，导致新生儿难以以母乳喂养。
HP:0002034	直肠异常	直肠，即储存固体废物直至其通过肛门的大肠的最后一段的一种异常。
HP:0002035	直肠脱垂	直肠粘膜通过肛门突出。
HP:0002036	裂孔疝	一个疝的存在，其中，胃的上部，即，主要是胃的贲门，通过膈食管裂孔伸出。
HP:0002037	大肠炎症	
HP:0002038	蛋白质禁食	
HP:0002039	厌食症	缺乏或丧失食欲（如某种医疗条件下）。
HP:0002040	食管静脉曲张	食管下部的粘膜下层静脉极度扩张。
HP:0002041	顽固性腹泻	
HP:0002043	食管瘢痕狭窄	食管的一种病理狭窄，由于一个环形的瘢痕组织的发展而压迫食管腔引起。
HP:0002044	Zollinger-Ellison 综合征	胃泌素分泌肿瘤（通常位于胰腺、十二指肠或腹部淋巴结）分泌胃泌素增多，刺激胃粘膜到最大活性，随之产生胃肠粘膜溃疡。
HP:0002045	低体温	体温降低因失败体温调节。
HP:0002046	不耐热	无法维持一个舒适体温在温或热的天气。
HP:0002047	恶性高热	恶性高热的特征在于，以39-42℃的快速温度增加响应于吸入麻醉药如氟烷或肌肉松弛剂，如琥珀酰胆碱。
HP:0002048	肾皮质萎缩	肾皮层萎缩。
HP:0002049	近端肾小管酸中毒	一种肾小管酸中毒，其特征是由于近端肾小管上皮细胞重吸收碳酸氢盐障碍，导致尿碳酸氢盐消耗及继发性酸血症。
HP:0002050	青春期后巨大睾丸	
HP:0002054	眼眶上脊重厚	
HP:0002055	下唇下曲线性凹陷	
HP:0002056	眉间异常	眉间的异常
HP:0002057	眉间突出	眉间向前突出
HP:0002058	肌病性面容	面容呈现肌病状态。由于肌肉无力，面部呈现双颊凹陷，双侧上睑下垂，以及嘴角下垂状态。
HP:0002059	脑萎缩	大脑萎缩（缩小，细胞数量或组织体积减少）。
HP:0002060	大脑异常	大脑，也被称为`telencephalon`（62000 FMA）的异常。
HP:0002061	下肢痉挛	特点是随着肌张力增高速度依赖的下肢牵张反射增加、腱反射亢进（高兴奋性）的运动障碍，。
HP:0002062	锥体束的形态异常	所有锥体束（FMA:72634）的结构异常，其主要成分，皮质脊髓束，是脑和脊髓之间唯一的直接连接。除了皮质脊髓束，锥体系统包括皮质延髓束，皮质中脑束，皮质脑桥束。
HP:0002063	强直	连续持续性不自主的肌肉收缩。当受影响的肌肉被动拉伸，无论肌肉的受牵拉稠度怎样，拮抗的程度保持恒定。此功能有助于区分肌肉痉挛还是强直。
HP:0002064	痉挛步态	
HP:0002066	步态共济失调	`共济失调`(HP:0001251)的一种类型，表现为正常行走时所需的协同运动能力受损。
HP:0002067	运动迟缓	运动迟缓的字面意思是缓慢运动，临床上用于表示运动执行缓慢（相对于运动减少，这是用来指运动的起始缓慢）。
HP:0002068	神经肌肉吞咽困难	
HP:0002069	全面性强直-阵挛发作	全面性强直-阵挛发作是全面性发作（HP:0002197），躯体肌肉双侧对称性强直收缩，然后阵挛性收缩，通常伴有自主神经症状。
HP:0002070	肢体共济失调	影响肢体运动的一种共济失调（HP:0001251）。
HP:0002071	锥体外系功能障碍	与基底节病变导致神经状态异常，典型的表现包括运动不能（无法发起动作的启动，或不能迅速和容易地进行随意运动），肌强直（广泛的无节律的肌肉快速持续收缩），舞蹈症（普遍一个强制，快速，干，和不宁性质）的心律失常的动作，手足徐动症（不能维持手指，脚趾，或其他组的肌肉中的固定位置的肌肉），和静坐不能（不能保持不动）。
HP:0002072	舞蹈样运动	舞蹈样运动（希腊文“跳舞”），指的是广泛无节奏的不自主强行运动，表现为抽动样，坐立不安。
HP:0002073	进行性小脑共济失调	
HP:0002074	神经元自体荧光脂褐素增加	脂褐素，自体荧光脂褐素的专业术语，是积聚在最衰老细胞的蛋白质和脂质混合物，尤其是涉及高脂质转换（例如，肾上腺髓质）或吞噬的其他类型细胞（例如视网膜色素上皮细胞或RPE；巨噬细胞）。此术语适用于神经元脂褐素（也称为自身荧光脂蛋白）的积聚增加是否超过患者预期的年龄。
HP:0002075	轮替运动障碍	`共济失调`（HP:0001251）的表现之一，表现为进行快速交替运动的功能受损，比如不能有节奏地用手拍打膝盖，一般为小脑病变所致。
HP:0002076	偏头痛	偏头痛是一种慢性神经系统疾病，特点是发作性头痛及相关症状。
HP:0002077	有先兆偏头痛	偏头痛（HP:0002076）的一种类型，先兆的特点为局灶性神经现象，通常进行性的，可伴有或不伴有头痛。先兆的症状可以包括完全可逆的视觉，感觉，和言语症状，但无运动无力。视觉症状可能包括闪光、点、线和/或视觉缺失，和/或单侧感觉症状诸如感觉异常或麻木。至少一个的先兆症状逐渐发展超过5分钟或更长时间，和/或不同的症状连续发生。
HP:0002078	躯干性共济失调	一种影响近端肌肉的共济失调（HP:0001251），尤其是那些参与步态稳定的肌肉。
HP:0002079	胼胝体发育不良	胼胝体发育不完全。
HP:0002080	意向性震颤	摆动性小脑性共济失调，肢体静止或刚开始随意运动时消失，持续运动和需要更加精准时加重（例如，触摸目标如患者的鼻子或医生的手指） 。
HP:0002083	无先兆偏头痛	反复的头痛发作持续4-72小时，符合至少下列两个的标准:1）单侧，2）搏动性，3）中度或重度疼痛，和4）日常体力活动可加重，避免日常活动避免如爬楼梯。头痛发作通常伴有恶心，呕吐，畏光，或畏声。
HP:0002084	脑膨出	?一种神经管缺陷，其特征为脑的囊样突起，以及颅骨开口处覆盖脑的膜上的囊样突起。
HP:0002085	枕叶脑膨出	一种发生在颅骨的枕骨区域的脑膨出（即，颅内容物包括脑组织从通常覆盖有皮肤或粘膜的头盖骨上的先天性开口突出去）。枕叶脑膨出表现为枕骨中线肿胀，通常有正常厚度的头皮覆盖。
HP:0002086	呼吸系统异常	呼吸系统（FMA:7158）的异常，其中包括呼吸道，肺部和呼吸肌。
HP:0002087	上呼吸道异常	`上呼吸道`（FMA:45661）的异常。
HP:0002088	肺部异常	肺部（FMA:7195）的异常。
HP:0002089	肺发育不良	
HP:0002090	肺炎	肺实质任何部分的炎症。
HP:0002091	限制性肺疾病	
HP:0002092	肺动脉高压	肺动脉高血压被定义为在休息平均肺动脉压大于25毫米汞柱（正常水平，10个毫米汞柱）或在锻炼期间大于30毫米汞柱（正常水平，15个毫米汞柱），由右心脏导管插入术来确定。
HP:0002093	呼吸功能不全	未能充分提供氧到机体的细胞和除去过量的二氧化碳。
HP:0002094	呼吸困难	呼吸费力或劳力性呼吸困难。
HP:0002097	肺气肿	
HP:0002098	呼吸窘迫	
HP:0002099	哮喘	哮喘的特征在于，气管支气管树因多种应激因素导致气道狭窄，引起了呼吸困难、咳嗽、喘息。
HP:0002100	反复吸入性肺炎	吸入性肺炎的易感性增加，吸入性肺炎是由于吸入异物导致的肺炎，表现为吸入性肺炎反复发作的病史。
HP:0002101	肺分叶异常	肺叶形成时的缺陷。
HP:0002102	胸膜炎	胸膜炎症。
HP:0002103	胸膜异常	位于胸膜的异常。胸膜(FMA:9734)是覆盖在肺与内侧胸壁的薄而透明的膜。
HP:0002104	呼吸暂停	呼吸肌无运动，并在肺中无气体交换。这个术语指呼吸暂停反复发作，而不是一个单一的事件。
HP:0002105	咯血	从喉、气管支气管或肺部咳出血或血丝痰。
HP:0002107	气胸	胸腔内气体积聚，导致部分或完全肺萎陷。
HP:0002108	自发性气胸	气无胸部或肺外伤发生的气胸。
HP:0002109	支气管异常	支气管（FMA:70774）的结构异常。
HP:0002110	支气管扩张	由于局部的和不可逆转的结构破坏，并大气道的扩张，从而导致支气管的持续异常扩张。
HP:0002111	限制性呼吸功能不全	
HP:0002113	肺浸润	
HP:0002118	脑室异常	在`脑室`的异常（FMA:275917）。
HP:0002119	巨脑室	脑的脑室系统容积增大。
HP:0002120	大脑皮层萎缩	萎缩的大脑皮质。
HP:0002121	失神发作	复发性失神发作是种全面性癫痫发作（HP:0002197），其特点是意识丧失，因此，是一种`dialeptic seizures`形式（HP:0011146）。
HP:0002123	全身性肌阵挛发作	癫痫发作，突然、短暂的（<100毫秒）的单块肌肉或肌群不自主地单次或多次不规则收缩（轴性，四肢近端，远端）。
HP:0002126	多小脑回	大脑半球的特征在于小脑回（卷积）数量过多的大脑的表面上的先天性异常。
HP:0002127	上运动神经元异常	
HP:0002131	发作性共济失调	周期性发作的不协调和不平衡。
HP:0002132	脑穿通畸形	大脑中有充满脑脊液的囊性结构或空腔
HP:0002133	癫痫持续状态	发作持续时间超过30分钟或更长时间或多次癫痫频繁重复发作，发作之间未恢复知觉。
HP:0002134	基底节异常	`基底节`的异常（FMA:84013）。
HP:0002135	基底节钙化	出现在基底节区（FMA:84013）的钙沉积(MPATH:36)，可累及一个或多个基底节区核团。
HP:0002136	宽基步态	是一种异常的步态模式，站立和行走时双脚距离很宽。这往往是小脑性共济失调的组成部分。
HP:0002138	蛛网膜下腔出血	`发生在`蛛网膜（FMA:9591）和'软脑膜（FMA:9590）之间的出血（mpath:119）。
HP:0002139	无鼻无脑畸形	
HP:0002140	缺血性中风	
HP:0002141	步态失衡	
HP:0002143	脊髓异常	在`脊髓`的异常（FMA:7647）（myelon）。
HP:0002144	脊髓栓系	在正常的胚胎发育中，脊髓最初占据整个脊柱的长度，但随着脊髓圆锥和椎体的分化、生长，最终位于L1水平的位置。终丝是远侧胚胎脊髓退缩之后形成的一种细长的线状结构并将脊髓附着在尾骨上。如果有一根粗大的绳子样的终丝将脊髓固定在L2水平或以下就会导致脊髓栓系，并且可能会因为脊髓收到的异常张力而导致神经系统体征。
HP:0002145	额颞叶痴呆	额颞叶功能退变引起的痴呆类型，临床表现为个性和行为改变，如脱抑制行为，冷漠和自知力缺乏。
HP:0002148	低磷血症	一个异常降低`phosphate`（CHEBI:18367）的浓度在`blood`（FMA:9670）。
HP:0002149	高尿酸血症	在`blood`（FMA:9670）:一个异常高的水平`尿酸acid`（27226 CHEBI）的。
HP:0002150	高钙尿症	
HP:0002151	血清乳酸增高	异常增加的血液`lactate`（CHEBI:24996）级（2-羟基丙酸）。乳酸是从丙酮酸由乳酸脱氢酶正常代谢过程中产生的。
HP:0002152	高蛋白血症	的`proteins`（CHEBI:36080）:一个`增加concentration`（0001162 PATO）在`blood`（FMA:9670）。
HP:0002153	高钾血症	异常增加`potassium`（CHEBI:29103）的浓度在血液中。
HP:0002154	高甘氨酸血症	浓度升高`glycine`（CHEBI:15428）在`blood`（FMA:9670）。
HP:0002155	高甘油三酯血症	在`blood`（FMA:9670）:在'triglycerides`（17855 CHEBI）水平的异常增加。
HP:0002156	高胱氨酸尿症	尿也中胱氨酸浓度增加。
HP:0002157	氮质血症	`血液`（FMA:9670）中'氮化合物`(CHEBI:51143)的浓度增加。
HP:0002159	尿中硫酸乙酰肝素排泄	尿液中硫酸乙酰肝素浓度增加。
HP:0002160	高同型半胱氨酸血症	在`blood`:`homocystine`（17485 CHEBI）浓度增加（FMA:9670）。
HP:0002161	高赖氨酸血症	在`blood`:`lysine`（25094 CHEBI）浓度增加（FMA:9670）。
HP:0002162	后发际低	脖子上的头发延伸异常。
HP:0002164	甲发育不良	甲发育不良。
HP:0002165	甲胬肉	
HP:0002166	下肢振动觉障碍	腿感知振动的能力下降。
HP:0002167	神经语言障碍	
HP:0002168	断续言语	
HP:0002169	阵挛	对一个突然施加并持续拉伸的外力做出的回应，出现一系列有节律、不自主的肌肉收缩（频率约为5-7赫兹）。
HP:0002170	颅内出血	发生在颅内（FMA:46565）的出血（MPATH:119）。
HP:0002171	胶质细胞增生	存在于'中枢神经系统`（FMA:55675）的`胶质细胞增生` (MPATH:182)。
HP:0002172	姿势不稳	
HP:0002173	低血糖发作	
HP:0002174	体位性震颤	当固定肢体在一个位置时诱发的震颤
HP:0002176	脊髓受压	脊髓受到外部机械压缩。
HP:0002179	角弓反张	
HP:0002180	神经退行性疾病	逐渐丧失的神经细胞和组织的。逐渐丢失的神经元细胞和神经组织
HP:0002181	脑水肿	大脑内液体异常蓄积。
HP:0002183	声音恐惧	对高分贝声音异常敏感
HP:0002185	神经原纤维缠结	称为tau蛋白的微管相关蛋白过度磷酸化之后形成病理性蛋白，聚合形成不溶性形式
HP:0002186	失用	在复杂运动指令的理解和在某些已学习动作的执行方面的缺陷，如在认知已学习运动的成分的缺陷。
HP:0002187	极重度智力残疾	极重度精神发育迟滞定义为智商（IQ）低于20。
HP:0002188	中枢神经系统的髓鞘化延迟	中枢神经系统的髓鞘形成（GO:0042552）延迟（PATO:0000502）。
HP:0002189	白天过度睡眠	
HP:0002190	脉络丛囊肿	脑室脉络丛（FMA:61934）内出现的囊肿。
HP:0002191	进行性痉挛	随着时间进行性加重的痉挛
HP:0002193	假性延髓行为症状	有假性球麻痹症状的患者，也常表现出异常行为症状，如不加控制的笑声或哭泣等不适当的情绪爆发
HP:0002194	粗大运动发育迟缓	以习得控制身体大肌肉进行走、跑、坐及爬的能力延迟为特点的运动发育迟缓（HP:0001270）。
HP:0002195	小脑蚓部发育不全	`小脑蚓部`(FMA:76928)发育不良。
HP:0002196	脊髓病	
HP:0002197	全面性发作	癫痫发作起始时双侧大脑半球均受累。
HP:0002198	第四脑室扩张	第四脑室（FMA:78469）的异常扩张。
HP:0002199	低钙发作	
HP:0002200	假性球麻痹症状	假性球麻痹症状是由于锥体束通路上皮层延髓束受损而出现的一种上运动神经元病变。表现为咀嚼、吞咽困难和表达不清（通常为最初表现）。还有不受控制的强哭强笑等症状
HP:0002202	胸腔积液	胸腔内存在过多的液体（FMA:9740）。
HP:0002203	呼吸肌麻痹	呼吸肌肉无法运动。
HP:0002204	肺栓塞	
HP:0002205	反复呼吸道感染	呼吸道感染的易感性增加，表现为反复呼吸道感染的病史。
HP:0002206	肺纤维化	正常肺组织逐步由成纤维细胞和胶原蛋白所取代。
HP:0002207	弥漫性网状或细结节状浸润	
HP:0002208	毛发粗糙	发干质地粗糙。
HP:0002209	脱发	单位面积的头发（54241 FMA）数量减少。
HP:0002211	额发变白	位于头皮的前正中线三角形区域的毛发变白。
HP:0002212	卷曲样发	
HP:0002213	绒毛	细短、柔软的毛。
HP:0002215	腋毛稀疏	腋毛数量或密度的减少。
HP:0002216	少年白	超过正常年龄提前出现白发。
HP:0002217	毛发生长缓慢	毛发的生长比正常情况下慢。
HP:0002218	银灰色毛发	毛发表现出银灰色的色素减退。
HP:0002219	面部多毛症（先天性）	
HP:0002220	发干部位色素沉积	
HP:0002221	腋毛稀疏	腋毛的缺失。
HP:0002223	无眉	没有眉毛
HP:0002224	羊毛状发	
HP:0002225	阴毛稀疏	阴毛数量或密度的减少。
HP:0002226	白眉	眉毛呈白色（无色素沉着）。
HP:0002227	白色睫毛	睫毛呈白色（无色素沉着）。
HP:0002229	斑秃	头发呈圆形斑片样脱失。
HP:0002230	全身性多毛症	全身性毛发异常增多。
HP:0002231	体毛稀疏	稀疏的体毛。
