身高异常	HP:0000002
男性不育	HP:0003251
外生殖器向前移位	HP:0003252
DNA修复异常	HP:0003254
凝血因子级联反应异常	HP:0003256
乙二醛酶缺乏症	HP:0003258
血清肌酐水平升高	HP:0003259
羟脯氨酸血症	HP:0003260
循环IgA升高	HP:0003261
平滑肌抗体阳性	HP:0003262
N-乙酰氨基葡萄糖胺-1-磷酸转移酶缺陷	HP:0003264
新生儿高胆红素血症	HP:0003265
乳清苷5'磷酸苷脱羧酶活性降低	HP:0003267
精氨酸尿	HP:0003268
嗜苏丹型脑白质营养不良	HP:0003269
腹胀	HP:0003270
内脏肿大	HP:0003271
髋骨形态异常	HP:0003272
髋关节挛缩	HP:0003273
髋臼发育低下	HP:0003274
骨盆狭窄	HP:0003275
骨盆外生骨疣	HP:0003276
收缩的髂翼	HP:0003277
方形骨盆	HP:0003278
髋膨大	HP:0003279
血清铁蛋白升高	HP:0003281
低碱性磷酸酶	HP:0003282
胱硫醚血症	HP:0003286
线粒体代谢异常	HP:0003287
线粒体丙酰辅酶A羧化酶（PCC）缺陷	HP:0003288
血清瘦素水平降低	HP:0003292
高苏氨酸尿症	HP:0003296
高赖氨酸尿症	HP:0003297
隐性脊柱裂	HP:0003298
卵形椎体	HP:0003300
椎体终板不规则	HP:0003301
脊椎滑脱症	HP:0003302
峡部裂	HP:0003304
脊椎分节不全	HP:0003305
脊柱强直	HP:0003306
脊柱前凸过度	HP:0003307
颈椎半脱位	HP:0003308
卵形胸腰椎体	HP:0003309
齿状突异常	HP:0003310
齿状突发育不全	HP:0003311
椎体形态异常	HP:0003312
蝴蝶椎	HP:0003316
颈椎过度活动	HP:0003318
颈椎异常	HP:0003319
C1-C2半脱位	HP:0003320
双凹扁平椎体	HP:0003321
进行性肌无力	HP:0003323
泛发性肌无力	HP:0003324
肢带肌无力	HP:0003325
肌痛	HP:0003326
中轴肌无力	HP:0003327
毛发异常的检查	HP:0003328
毛干不规则扁平分布并绕发轴180度扭转	HP:0003329
骨结构异常	HP:0003330
原发性干骺端松质缺如	HP:0003332
血清β-氨基己糖苷酶增高	HP:0003333
血儿茶酚胺水平升高	HP:0003334
软骨内骨化异常	HP:0003336
凝血酶原消耗减少	HP:0003337
右心室肌细胞局灶性坏死	HP:0003338
嘧啶反应性巨幼细胞性贫血	HP:0003339
表皮下水疱伴透明层裂隙	HP:0003341
谷胱甘肽合成酶缺乏症	HP:0003343
3-甲基戊二酸尿症	HP:0003344
尿去甲肾上腺素浓度增高	HP:0003345
植物血凝素淋巴细胞转化受损	HP:0003347
高丙氨酸血症	HP:0003348
低胆固醇酯化率	HP:0003349
血肾素水平降低	HP:0003351
骨髓染色体的核内多倍性检查	HP:0003352
丙酰辅酶A羧化酶缺乏	HP:0003353
高苏氨酸血症	HP:0003354
氨基酸尿	HP:0003355
胸腺激素减少	HP:0003357
胞内胱氨酸浓度升高	HP:0003358
尿硫酸盐减少	HP:0003359
色氨酸尿症	HP:0003361
循环系统内的极低密度脂蛋白胆固醇浓度增高	HP:0003362
腹部内脏逆位	HP:0003363
髋关节痛	HP:0003365
股骨颈/头形态异常	HP:0003366
股骨颈形态异常	HP:0003367
股骨头形态异常	HP:0003368
股骨近端骨骺扁平	HP:0003370
股骨近端骨骺膨大	HP:0003371
坐骨大切迹变窄	HP:0003375
跨阈步态	HP:0003376
轴索变性/再生	HP:0003378
周围有髓神经纤维数量减少	HP:0003380
肥厚性神经改变	HP:0003382
洋葱球形成	HP:0003383
外围神经轴索萎缩	HP:0003384
大的周围有髓鞘神经纤维数量减少	HP:0003387
易疲劳性	HP:0003388
感觉轴索神经病	HP:0003390
高尔斯征	HP:0003391
第一背侧骨间肌无力	HP:0003392
鱼际肌萎缩	HP:0003393
肌肉痉挛	HP:0003394
脊髓空洞症	HP:0003396
由于神经肌肉接头缺陷导致的广泛性肌张力减低	HP:0003397
神经肌肉接头异常	HP:0003398
基底层“洋葱头样”改变	HP:0003400
感觉异常	HP:0003401
微终板电位降低	HP:0003402
EMG	HP:0003403
弥漫性轴索肿胀	HP:0003405
周围神经受压	HP:0003406
远端各种感觉障碍	HP:0003409
股骨近端干骺端不规则	HP:0003411
寰枢椎畸形	HP:0003413
寰枢椎脱位	HP:0003414
椎管狭窄	HP:0003416
冠状位脊柱裂	HP:0003417
背部疼痛	HP:0003418
下背部疼痛	HP:0003419
椎体分节缺陷	HP:0003422
胸腰段脊柱后侧凸畸形	HP:0003423
第一背侧骨间肌萎缩	HP:0003426
鱼际肌无力	HP:0003427
中枢神经系统髓鞘形成减少	HP:0003429
运动神经传导速度降低	HP:0003431
感觉性共济失调性神经病	HP:0003434
寒冷诱发的手肌强直	HP:0003435
微终板电流延长	HP:0003436
跟腱反射缺如	HP:0003438
水平骶骨	HP:0003440
神经终板缩小	HP:0003443
肌电图:慢性失神经支配的征象	HP:0003444
肌电图	HP:0003445
轴突缺失	HP:0003447
感觉神经传导速度降低	HP:0003448
冷刺激引起的肌肉痉挛	HP:0003449
轴突再生	HP:0003450
早熟染色体凝缩率增高	HP:0003451
血清铁离子增高	HP:0003452
抗中性粒细胞抗体阳性	HP:0003453
血小板抗体阳性	HP:0003454
长链脂肪酸水平升高	HP:0003455
尿环腺苷酸对甲状旁腺素（PTH）治疗反应低下	HP:0003456
肌电图异常	HP:0003457
EMG:肌病样异常	HP:0003458
IgM抗体多克隆性增高	HP:0003459
循环总 IgA 降低	HP:0003460
尿液唾液酸肽增加	HP:0003461
8-脱氢胆固醇水平升高	HP:0003462
神经元外自体荧光脂褐素增加	HP:0003463
8（9）-胆甾烯醇水平升高	HP:0003465
地塞米松抑制试验皮质醇分泌反常增加	HP:0003466
寰枢椎不稳	HP:0003467
椎骨形态异常	HP:0003468
外周神经髓鞘化障碍	HP:0003469
瘫痪	HP:0003470
低钙搐搦	HP:0003472
疲劳性肌无力	HP:0003473
躯体感觉异常	HP:0003474
轴索性周围神经病	HP:0003477
节段性神经末梢脱髓鞘/髓鞘再生	HP:0003481
肌电图	HP:0003482
上肢肌无力	HP:0003484
巴彬斯基征	HP:0003487
神经性症状急性发作	HP:0003489
尿焦磷酸增高	HP:0003491
尿液促性腺激素高	HP:0003492
抗核抗体阳性	HP:0003493
GM2神经节苷脂堆积	HP:0003495
循环IgM水平升高	HP:0003496
不成比例的身材矮小	HP:0003498
轻度身材矮小	HP:0003502
成比例身材矮小	HP:0003508
严重的身材矮小	HP:0003510
肾钙清除与肌酐清除比率降低	HP:0003513
细胞色素b（-245）缺乏或缺失	HP:0003514
出生身长大于97百分位数	HP:0003517
不成比例的短躯干性矮小	HP:0003521
甲硫氨酸合成酶活性降低	HP:0003524
乳清酸结晶尿症	HP:0003526
高前列腺素尿症	HP:0003527
降钙素升高	HP:0003528
非甲状旁腺激素依赖性肾小管钙重吸收增加	HP:0003529
戊二酸血症	HP:0003530
鸟氨酸尿症	HP:0003532
乙醛氧化延迟	HP:0003533
黄嘌呤脱氢酶活性降低	HP:0003534
3-甲基戊烯二酸尿症	HP:0003535
延胡索酸水解酶活性降低	HP:0003536
低尿酸血症	HP:0003537
血清艾杜糖醛硫酸酯酶活性增高	HP:0003538
血小板聚集障碍	HP:0003540
糖胺聚糖尿排泄	HP:0003541
血清丙酮酸增高	HP:0003542
运动不耐受	HP:0003546
肩胛带肌肉无力	HP:0003547
肌膜下形态异常的线粒体沉积	HP:0003548
结缔组织异常	HP:0003549
主要累及下肢的淋巴水肿	HP:0003550
爬楼梯困难	HP:0003551
肌肉僵硬	HP:0003552
2型肌纤维萎缩	HP:0003554
肌纤维分裂	HP:0003555
肌纤维直径变异性增大	HP:0003557
病毒感染诱导的横纹肌瘤	HP:0003558
腱反射亢进	HP:0003559
肌营养不良	HP:0003560
出生身长小于第3百分位数	HP:0003561
干骺端血管异常侵犯	HP:0003562
低β-脂蛋白血症​​	HP:0003563
叶酸依赖性Xq28脆性位点	HP:0003564
红细胞沉降速度升高	HP:0003565
血清前列腺素E2增高	HP:0003566
葡萄糖磷酸异构酶活性降低	HP:0003568
钼辅助因子缺乏	HP:0003570
丙酸血症	HP:0003571
低血浆瓜氨酸	HP:0003572
总胆红素增加	HP:0003573
酚妥拉明阻断试验阳性	HP:0003574
细胞内钠离子浓度增高	HP:0003575
先天发病	HP:0003577
成年期发病	HP:0003581
老年期发病	HP:0003584
隐袭发病	HP:0003587
婴儿期发病	HP:0003593
中年期发病	HP:0003596
尿硫蝶呤缺乏	HP:0003606
4-羟基苯乙酸尿症	HP:0003607
层状包涵体泡沫细胞	HP:0003609
成纤维细胞异染	HP:0003610
三氯化铁试验阳性	HP:0003612
抗磷脂抗体阳性	HP:0003613
三甲胺尿症	HP:0003614
着丝粒异染色质的过早分离	HP:0003616
青少年期发病	HP:0003621
新生儿期发病	HP:0003623
广泛肌肉发育不良	HP:0003634
四肢皮下脂肪组织丢失	HP:0003635
4-羟基苯丙酮酸双加氧酶活性降低	HP:0003637
尿肾上腺素增高	HP:0003639
内脏与中枢神经系统泡沫细胞	HP:0003640
血红蛋白尿	HP:0003641
I型转铁蛋白异构体谱	HP:0003642
亚硫酸氧化酶缺乏症	HP:0003643
部分凝血活酶时间延长	HP:0003645
尿重碳酸氢盐增多	HP:0003646
电子传递黄素蛋白 - 泛醌氧化还原酶缺陷	HP:0003647
乳酸血症	HP:0003648
糖苷代谢异常	HP:0003649
泡沫细胞	HP:0003651
复发性肌红蛋白尿	HP:0003652
细胞异染	HP:0003653
双氢嘧啶脱氢酶活性降低	HP:0003654
N-乙酰氨基葡萄糖转移酶II活性降低	HP:0003655
β-葡萄糖脑苷脂酶蛋白和活性降低	HP:0003656
胞内嗜锇颗粒沉积	HP:0003657
低甲硫氨酸血症	HP:0003658
骨盆肌萎缩	HP:0003665
发病期	HP:0003674
进行性/渐进性	HP:0003676
缓慢进展	HP:0003677
快速进展	HP:0003678
进展速度	HP:0003679
非进行性	HP:0003680
可变性进展	HP:0003682
大喙鼻	HP:0003683
中央成核的骨骼肌纤维	HP:0003687
细胞色素C氧化酶阴性肌肉纤维	HP:0003688
线粒体DNA多处缺失	HP:0003689
四肢肌肉无力	HP:0003690
翼状肩胛	HP:0003691
远端肌肉萎缩	HP:0003693
晚发性近端肌无力	HP:0003694
第五指末节指骨骨骺缺如	HP:0003696
肩腓肌萎缩	HP:0003697
站立困难	HP:0003698
泛发性肌萎缩	HP:0003700
近端肌肉无力	HP:0003701
肩腓肌无力	HP:0003704
小腿肌肉假性肥大	HP:0003707
运动引起的肌肉痉挛	HP:0003710
骨骼肌肥大	HP:0003712
肌纤维坏死	HP:0003713
肌原纤维肌病	HP:0003715
出生时全身肌肉显露	HP:0003716
最低限度的皮下脂肪	HP:0003717
肌球	HP:0003719
广泛肌肉肥大	HP:0003720
颈屈肌无力	HP:0003722
肩胛带肌肉萎缩	HP:0003724
肌肉坚硬	HP:0003725
肠道病毒皮肌炎综合征	HP:0003729
强直型肌电图波	HP:0003730
股四头肌无力	HP:0003731
大腿肥大	HP:0003733
自噬空泡	HP:0003736
线粒体肌病	HP:0003737
运动诱发的肌肉痛	HP:0003738
肌阵挛性抽搐	HP:0003739
运动后肌强直现象	HP:0003740
先天性肌营养不良	HP:0003741
遗传早现	HP:0003743
偏向父系传递的遗传早现	HP:0003744
散发的	HP:0003745
骨盆带肌无力	HP:0003749
肌肉易疲劳	HP:0003750
发作性弛缓无力	HP:0003752
1型纤维相对于2型纤维小	HP:0003755
骨骼肌病	HP:0003756
皮下脂肪组织减少	HP:0003758
淋巴管发育不全	HP:0003759
扣击引起的快速滚动的肌肉收缩（PIRC）	HP:0003760
钙质沉着	HP:0003761
双子宫	HP:0003762
磨牙症	HP:0003763
色素痣	HP:0003764
银屑病样皮炎	HP:0003765
周期性麻痹	HP:0003768
牙髓钙化	HP:0003771
慢性肾病5期	HP:0003774
卷发	HP:0003777
下颌支短	HP:0003778
下颌骨前角切迹	HP:0003779
唾液分泌过多	HP:0003781
类无睾者习性	HP:0003782
腿外旋/外展	HP:0003783
Ⅰ型胶原过度修饰	HP:0003784
脑脊液高香草酸降低	HP:0003785
1 型和 2 型肌纤维微核心区域	HP:0003787
小核肌病	HP:0003789
β-淀粉样蛋白免疫反应性沉积	HP:0003791
中节趾骨短	HP:0003795
髂嵴不规则	HP:0003796
肢带肌萎缩	HP:0003797
杆状体	HP:0003798
骨龄显著延迟	HP:0003799
线粒体功能障碍引起的肌异常	HP:0003800
1型肌纤维优势	HP:0003803
镶边空泡	HP:0003805
肌张力异常	HP:0003808
胸内脂肪组织减少	HP:0003809
晚发型远端肌无力	HP:0003810
新生儿期夭折	HP:0003811
表型多样性	HP:0003812
儿童期死亡	HP:0003819
死胎	HP:0003826
表现度差异	HP:0003828
外显不全	HP:0003829
年龄相关的外显率	HP:0003831
胫骨平台异常	HP:0003832
胫骨平台外侧缺陷	HP:0003833
肩关节脱位	HP:0003834
肩关节半脱位	HP:0003835
肩部点状钙化	HP:0003836
肩周软组织骨化	HP:0003837
上肢骨骺形态异常	HP:0003839
上肢骨骺骨化延迟	HP:0003840
上肢骨骺碎裂	HP:0003841
上肢骨骺不规则	HP:0003842
上肢圆形骨骺	HP:0003843
上肢小骨骺	HP:0003844
上肢骨骺板增宽	HP:0003846
上肢杯状干骺端	HP:0003848
上肢骨喇叭状干骺端	HP:0003849
上肢干骺端不规则	HP:0003850
上肢干骺端溶骨缺陷	HP:0003851
上肢干骺端正常密度横带	HP:0003852
上肢干骺端横条纹硬化	HP:0003853
上肢干骺端硬化	HP:0003854
上肢干骺端骨刺	HP:0003855
上肢干骺端增宽	HP:0003856
上肢骨干皮质不规则	HP:0003858
上肢骨干皮质增厚	HP:0003859
上肢骨干硬化	HP:0003860
上肢骨干变宽	HP:0003861
肱骨缺如	HP:0003862
成角肱骨	HP:0003863
肱骨骨裂	HP:0003864
肱骨弯曲	HP:0003865
粗大的肱骨小梁	HP:0003866
肱骨皮质不规则	HP:0003867
肱骨皮质增厚	HP:0003868
肱骨皮质变薄	HP:0003869
肱骨皱缩	HP:0003870
肱骨变形	HP:0003871
肱骨外生骨疣	HP:0003872
肱骨内翻	HP:0003874
肱骨溶骨缺陷	HP:0003875
肱骨骨质疏松	HP:0003876
肱骨椭圆形经辐射	HP:0003877
肱骨骨膜新骨	HP:0003878
肱骨假关节	HP:0003879
肱骨硬化灶	HP:0003880
肱骨硬化	HP:0003881
肱骨修长	HP:0003882
锥形肱骨	HP:0003883
三角形肱骨	HP:0003884
未成形肱骨	HP:0003885
宽肱骨	HP:0003886
肱骨头异常	HP:0003887
肱骨头扁平	HP:0003888
三角肌粗隆异常	HP:0003889
三角肌粗隆凸起	HP:0003890
肱骨骨骺异常	HP:0003891
肱骨骨骺骨化缺如	HP:0003892
肱骨骨骺骨化过早	HP:0003893
肱骨骨骺骨化延迟	HP:0003894
肱骨骨骺扁平	HP:0003895
肱骨骨骺不规则	HP:0003896
肱骨骨骺不规则骨化	HP:0003897
大肱骨骨骺	HP:0003898
圆形肱骨骨骺	HP:0003899
小肱骨骨骺	HP:0003900
肱骨骨骺点状钙化	HP:0003901
肱骨骨骺斑点化	HP:0003902
宽肱骨骨骺	HP:0003903
上肢骨骺增宽	HP:0003904
肱骨骨骺板异常	HP:0003905
宽肱骨骨骺板	HP:0003906
肱骨干骺端异常	HP:0003907
干骺端角骨折	HP:0003908
肱骨干骺端皮质骨膜下吸收	HP:0003909
肱骨干骺端膨大	HP:0003910
喇叭状肱骨干骺端	HP:0003911
肱骨干骺端磨损	HP:0003912
肱骨干骺端不规则	HP:0003913
肱骨干骺端不规则骨化	HP:0003914
肱骨干骺端溶骨缺陷	HP:0003915
正常密度肱骨横带	HP:0003916
肱骨干骺端突出	HP:0003917
肱骨干骺端硬化	HP:0003918
肱骨干骺端硬化并有纵纹	HP:0003919
肱骨干骺端倾斜	HP:0003920
肱骨干骺端横向倾斜	HP:0003921
肱骨干骺端骨刺	HP:0003922
肱骨方形干骺端	HP:0003923
肱骨干骺端点状钙化	HP:0003924
肱骨骨干异常	HP:0003926
肱骨骨干不规则皮质	HP:0003927
肱骨骨干皮质增厚	HP:0003928
肱骨骨干磨砂玻璃样观	HP:0003929
肱骨骨干溶骨缺陷	HP:0003930
肱骨骨干骨膜新骨	HP:0003931
肱骨骨干硬化灶	HP:0003932
肱骨骨干硬化	HP:0003933
肱骨干修长	HP:0003934
肱骨宽骨干	HP:0003935
肘部骨性融合	HP:0003938
肱尺骨性融合	HP:0003939
肘关节骨性关节炎	HP:0003940
肘关节点状钙化	HP:0003941
肘关节滑膜软骨瘤病	HP:0003942
肘关节关节间隙异常	HP:0003943
肘关节腔狭窄	HP:0003944
肘关节不规则关节面	HP:0003945
肘部骨骺异常	HP:0003946
肘关节骨骺骨化延迟	HP:0003947
肘关节骨骺不规则	HP:0003948
肘关节干骺端异常	HP:0003949
喇叭状肘部干骺端	HP:0003950
肱骨远端干骺端不规则	HP:0003951
肘关节干骺端硬化灶	HP:0003952
前臂骨缺如	HP:0003953
前臂骨成角畸形	HP:0003954
前臂骨中骨外观	HP:0003955
前臂骨弯曲	HP:0003956
前臂骨皮质增厚	HP:0003957
前臂骨交叉融合	HP:0003958
前臂骨变形	HP:0003959
前臂骨外生骨疣	HP:0003960
前臂骨骨折	HP:0003961
前臂骨溶骨缺陷	HP:0003963
前臂骨骨质疏松	HP:0003964
前臂骨假关节	HP:0003965
前臂骨骼硬化灶	HP:0003966
前臂骨硬化	HP:0003967
纤细的前臂骨	HP:0003969
未成形的前臂骨骼	HP:0003970
宽前臂骨	HP:0003971
尺桡关节增宽	HP:0003973
桡骨缺如	HP:0003974
桡骨收缩	HP:0003976
桡骨变形	HP:0003977
骨折后的桡骨	HP:0003978
桡骨溶骨缺陷	HP:0003979
桡骨假关节	HP:0003980
宽桡骨	HP:0003981
尺骨缺如	HP:0003982
尺骨后脱位	HP:0003984
尺骨外生骨疣	HP:0003985
桡骨外生骨疣	HP:0003986
骨折后的尺骨	HP:0003987
长尺骨	HP:0003988
锯齿状尺骨	HP:0003989
尖尺骨	HP:0003990
尺骨骨硬化	HP:0003991
长尺骨	HP:0003992
宽尺骨	HP:0003993
手腕脱臼	HP:0003994
桡骨小头异常	HP:0003995
桡骨小头扁平	HP:0003996
桡骨头发育不全	HP:0003997
桡骨颈狭窄	HP:0003998
桡骨骨骺异常	HP:0003999
桡骨远端锥形骨骺	HP:0004000
桡骨骨骺中位缺陷	HP:0004001
桡骨骨骺扁平	HP:0004002
桡骨骨骺中位扁平	HP:0004003
桡骨骨骺不规则	HP:0004004
桡骨骨骺较大	HP:0004005
圆形桡骨骨骺	HP:0004006
桡骨骨骺硬化	HP:0004007
桡骨骨骺倾斜	HP:0004008
桡骨骨骺中位倾斜	HP:0004009
桡骨骨骺小	HP:0004010
桡骨骨骺板过早融合	HP:0004012
桡骨骨骺板中部融合	HP:0004013
桡骨骨骺板变宽	HP:0004014
桡骨干骺端异常	HP:0004015
杯状桡骨干骺端	HP:0004016
桡骨干骺端外生骨疣	HP:0004017
桡骨喇叭状干骺端	HP:0004018
桡骨干骺端不规则	HP:0004019
桡骨干骺端不规则骨化	HP:0004020
桡骨干骺端溶骨性缺陷	HP:0004021
桡骨干骺端硬化有纵纹	HP:0004022
桡骨干骺端倾斜	HP:0004023
桡骨干骺端中位倾斜	HP:0004024
桡骨干骺端骨刺	HP:0004025
桡骨干骺端变宽	HP:0004026
桡骨骨干异常	HP:0004027
桡骨骨干骨刺	HP:0004028
桡骨干溶骨性缺陷	HP:0004029
桡骨骨干的斑状硬化	HP:0004030
桡骨骨干变宽	HP:0004031
尺骨鹰嘴异常	HP:0004032
鹰嘴骨弯曲	HP:0004033
鹰嘴骨不规则	HP:0004034
尺骨茎突异常	HP:0004035
尺骨茎突变长	HP:0004036
尺骨骨骺异常	HP:0004037
尺骨干骺端异常	HP:0004039
尺骨干骺端角碎片	HP:0004040
杯状尺骨干骺端	HP:0004041
尺骨干骺端不规则	HP:0004042
尺骨干骺端溶骨性缺陷	HP:0004043
尖尺骨干骺端	HP:0004044
尺骨干骺端倾斜	HP:0004045
尺骨干骺端骨刺	HP:0004046
尺骨干骺端增宽	HP:0004047
腕关节间隙狭窄	HP:0004048
腕角减小	HP:0004049
手缺如	HP:0004050
手部骨骼骨化过早	HP:0004051
手骨骨化延迟	HP:0004052
手部骨骼成熟不平衡	HP:0004053
手骨硬化症	HP:0004054
连指手套状并指	HP:0004057
独指手	HP:0004058
桡偏畸形手	HP:0004059
三叉手	HP:0004060
手指弯曲	HP:0004095
手指偏离	HP:0004097
巨指	HP:0004099
第二指形态异常	HP:0004100
鼻中线浅沟	HP:0004112
鼻中线缺陷	HP:0004122
鼻尖隐窝	HP:0004132
第三指形态异常	HP:0004150
第三指中节指骨异常	HP:0004172
第三指末节指骨过短	HP:0004180
第四指异常	HP:0004188
第四指指骨溶骨性缺陷	HP:0004195
第四指指骨融合	HP:0004197
第五指异常	HP:0004207
第五指屈指畸形	HP:0004209
第五指指骨异常	HP:0004213
第五指指骨弯曲	HP:0004214
第五指指骨溶骨性缺陷	HP:0004216
第五指指关节融合	HP:0004218
第五指中节指骨异常	HP:0004219
第五指中节指骨短	HP:0004220
第五指末节指骨锥形骨骺	HP:0004222
第五指的末节指骨乳白色骨骺	HP:0004223
第五指中节指骨骨骺异常	HP:0004224
第五指末节指骨异常	HP:0004225
第五指末节指骨弯曲	HP:0004226
第五指末节指骨短	HP:0004227
第五指近端指间关节半脱位	HP:0004230
腕骨发育不全	HP:0004231
副腕骨	HP:0004232
腕骨骨化过早	HP:0004233
腕骨骨中骨外观	HP:0004234
逗点状腕骨	HP:0004235
不规则腕骨	HP:0004236
大腕骨	HP:0004237
腕骨溶骨缺陷	HP:0004238
近置腕骨	HP:0004239
腕骨内硬化灶	HP:0004240
腕骨点状钙化	HP:0004241
腕骨变宽	HP:0004242
舟骨异常	HP:0004243
副舟骨	HP:0004244
逗号状舟状骨	HP:0004245
舟骨骨化延迟	HP:0004246
舟状骨小	HP:0004247
月骨异常	HP:0004248
副月骨	HP:0004249
近置月骨	HP:0004250
月骨-三角骨融合	HP:0004251
大多角骨异常	HP:0004252
大多角骨缺如	HP:0004253
斜方骨骨化延迟	HP:0004254
斜方骨小	HP:0004255
小多角骨异常	HP:0004256
棱形骨骨化延迟	HP:0004257
斜方骨小	HP:0004258
钩骨异常	HP:0004259
大钩骨	HP:0004260
钩骨增宽	HP:0004261
头状骨异常	HP:0004262
大头状骨	HP:0004263
腕关节间隙狭窄	HP:0004264
手的小关节狭窄	HP:0004267
手的小关节的骨关节炎	HP:0004268
手的小关节脱位	HP:0004269
手骨骨皮质增厚	HP:0004271
手骨骨皮质变薄	HP:0004272
手骨杯状干骺端	HP:0004273
手骨骨化缺陷	HP:0004274
手骨重复	HP:0004275
手骨外生骨疣	HP:0004276
手骨骨折	HP:0004277
累及手骨的骨融合	HP:0004278
短掌	HP:0004279
手骨不规则骨化	HP:0004280
手骨不规则硬化	HP:0004281
手掌狭窄	HP:0004283
手骨头缺口	HP:0004284
手骨过度成形	HP:0004285
手骨斑片状硬化	HP:0004286
尖头手骨	HP:0004287
手骨假骨骺	HP:0004288
手骨硬化灶	HP:0004289
手骨硬化伴横纹	HP:0004290
手部骨骼点状钙化	HP:0004291
未成形手部骨骼	HP:0004292
第二掌骨-小多角骨骨融合	HP:0004293
掌骨指骨关节半脱位	HP:0004294
胃粘膜异常	HP:0004295
胃肠血管异常	HP:0004296
胆道系统异常	HP:0004297
腹壁异常	HP:0004298
腹壁疝	HP:0004299
功能性运动障碍	HP:0004302
肌纤维形态异常	HP:0004303
不自主运动	HP:0004305
心内膜形态异常	HP:0004306
心脏解剖位置异常	HP:0004307
室性心律失常	HP:0004308
心室预激	HP:0004309
巨噬细胞形态异常	HP:0004311
网织红细胞形态异常	HP:0004312
循环抗体水平降低	HP:0004313
循环IgG水平降低	HP:0004315
醛固酮减少症	HP:0004319
阴道瘘	HP:0004320
膀胱瘘管	HP:0004321
身材矮小	HP:0004322
体重异常	HP:0004323
体重增加	HP:0004324
体重下降	HP:0004325
恶病质	HP:0004326
玻璃体异常	HP:0004327
眼前段形态异常	HP:0004328
眼后段形态异常	HP:0004329
颅骨骨化增加	HP:0004330
颅骨骨化减少	HP:0004331
淋巴细胞形态异常	HP:0004332
骨髓泡沫细胞	HP:0004333
皮肤萎缩	HP:0004334
髓鞘外折	HP:0004336
氨基酸代谢异常	HP:0004337
芳香氨基酸族代谢异常	HP:0004338
含硫氨基酸代谢异常	HP:0004339
维生素B代谢异常	HP:0004340
维生素B12代谢异常	HP:0004341
半乳糖代谢异常	HP:0004342
鞘糖脂代谢异常	HP:0004343
脑苷酶代谢异常	HP:0004344
神经节苷脂代谢异常	HP:0004345
呼吸肌无力	HP:0004347
骨密度异常	HP:0004348
骨密度降低	HP:0004349
嘌呤代谢异常	HP:0004352
嘧啶代谢异常	HP:0004353
羧酸代谢异常	HP:0004354
溶酶体代谢异常	HP:0004356
亮氨酸代谢异常	HP:0004357
过氧化物代谢异常	HP:0004358
脂肪酸代谢异常	HP:0004359
酸碱平衡异常	HP:0004360
血瘦素水平异常	HP:0004361
肠神经节形态异常	HP:0004362
钙稳态平衡异常	HP:0004363
氮化合物稳态平衡异常	HP:0004364
色氨酸代谢异常	HP:0004365
糖酵解异常	HP:0004366
嘌呤含量增加	HP:0004368
嘌呤含量降低	HP:0004369
体温调节异常	HP:0004370
粘多糖代谢异常	HP:0004371
意识减弱/意识错乱	HP:0004372
局限性肌张力障碍	HP:0004373
偏瘫/轻偏瘫	HP:0004374
神经系统的肿瘤	HP:0004375
神经母细胞瘤	HP:0004376
血液肿瘤	HP:0004377
肛门异常	HP:0004378
碱性磷酸酶活性异常	HP:0004379
主动脉瓣钙化	HP:0004380
主动脉瓣上狭窄	HP:0004381
二尖瓣钙化	HP:0004382
左心发育不全	HP:0004383
I型动脉干	HP:0004384
迁延性腹泻	HP:0004385
胃肠道炎症	HP:0004386
小肠结肠炎	HP:0004387
细小结肠	HP:0004388
假性肠梗阻	HP:0004389
错构瘤性息肉病	HP:0004390
梅干腹	HP:0004392
多发性胃息肉	HP:0004394
营养不良	HP:0004395
食欲不振	HP:0004396
肛门异位	HP:0004397
消化性溃疡	HP:0004398
先天性幽门闭锁	HP:0004399
幽门异常	HP:0004400
胎粪性肠梗阻	HP:0004401
近端食管闭锁	HP:0004403
乳头形态异常	HP:0004404
乳头凸出	HP:0004405
复发性自发鼻衄	HP:0004406
骨性鼻翼突起	HP:0004407
嗅觉异常	HP:0004408
嗅觉减退	HP:0004409
鼻中隔偏曲	HP:0004411
肺动脉异常	HP:0004414
肺动脉狭窄	HP:0004415
早发性动脉粥样硬化	HP:0004416
间歇性跛行	HP:0004417
血栓性静脉炎	HP:0004418
复发性血栓性静脉炎	HP:0004419
动脉血栓形成	HP:0004420
收缩压升高	HP:0004421
双侧顶骨部收窄	HP:0004422
隐性颅裂	HP:0004423
额头扁平	HP:0004425
脸颊异常	HP:0004426
小精灵脸	HP:0004428
反复病毒感染	HP:0004429
重症联合免疫缺陷	HP:0004430
补体缺陷	HP:0004431
无丙种球蛋白血症	HP:0004432
分泌型IgA缺乏症	HP:0004433
血清补体C8降低	HP:0004434
颅骨骨质增生	HP:0004437
额骨内板增生症	HP:0004438
颅面骨发育不全	HP:0004439
冠状缝早闭	HP:0004440
矢状缝早闭	HP:0004442
人字缝早闭	HP:0004443
球形红细胞增多症	HP:0004444
椭圆形红细胞增多症	HP:0004445
口形红细胞增多症	HP:0004446
异形性红细胞	HP:0004447
暴发性肝衰竭	HP:0004448
耳前皮肤皱褶	HP:0004450
耳后皮赘	HP:0004451
中耳听小骨异常	HP:0004452
耳轮上部过度卷曲	HP:0004453
中耳反射异常	HP:0004454
